gene	female_older_adult_2
102724927	0
102724929	0
10273	0
10274	0
10276	0.01486781412895031
10277	0
10278	0
10279	0.01755279357998121
1028	0.00580053889934348
10280	0
10281	0
10282	0
10283	0
10284	-0.01452508003544227
10285	-0.0036041277088443
10286	0
10287	0
10288	0
10289	0
1029	0.02346613771185912
10290	-0.0466473508462582
10291	0
10293	0
10294	0
10295	0
10296	-0.00466767464792204
10297	0
10298	0
10299	-0.00663244456347317
103	0
1030	0.00371456265085098
10300	-0.00509699995112368
10301	-0.00181145026225633
10302	-0.03296996985802648
10307	0.01000448972935793
10308	0
10309	0
1031	0
10311	0
10312	0
10313	0
10314	0
10316	4.2736209559514e-4
10317	0
10318	0
10319	0
1032	0
10320	-0.00299716695634739
10321	0
10322	-0.02048069991530341
10324	0
10325	0
10326	-0.01227652952652653
10327	0
10328	0
10329	0
1033	0
10330	0
10331	-0.00508490025609799
10332	0
10333	0
10335	0
10336	0
10342	0.00267642092275865
10343	0
10344	0
10345	0
10346	0
10347	-0.00552830986333274
10350	0
10351	0
10352	0.00152308567512347
1036	0.02031086051820252
10360	0
10361	0.05424898681104801
10362	0
10363	-0.01380223452523608
10365	-0.00182914386057482
10367	0
10368	0
10369	0
10370	0.00917699773183091
10371	0.04552982822403042
10376	0
10379	0
1038	0
10380	0
10381	0.00125593385104397
10382	0
10383	0.01169871738088763
10384	0
10385	0
10388	0.01621903634188997
10389	0
1039	0.01347143035130955
10390	0
10391	-0.03596382056028886
103910	0
10392	0.02364344917287322
10393	0
10394	0
10395	0.00603211206902856
10396	0
10397	0
10398	0.03832431972075176
10399	0
104	-0.03178812415277098
1040	0.00819168042839821
10400	0
10401	0
10402	0
10403	0
10404	0
10406	0
10407	0
10408	0
10409	-0.02320762368783423
1041	0
10411	0.00485503827112323
10413	0
10417	0.02580611056863674
10418	-0.01221860635825166
10419	-0.00500903816461589
10420	0.01542185656548575
10421	-0.00450577230563605
10422	0
10423	0
10424	0
10425	0
10426	0
10427	0
10428	0
1043	0.04110301855546539
10430	0
10432	0
10434	0
10435	0
10436	0
10437	0
10438	0
10439	0.02047834457196613
1044	0
10440	0
10443	0
10444	0
10445	0
10446	0
10449	0.01386431445965119
1045	0
10450	-0.00847762164206582
10451	0
10454	0
10455	0
10456	0
10457	-0.01291577969672101
10458	0.01758085201196143
10459	0
1046	0
10460	0
10461	0
10462	0.0501636330999913
10463	0
10464	0.00783556943939863
10465	-0.00269704291467531
10466	0.00465174084750979
10467	0
10468	0.03536988490687913
10469	-0.00603794132492986
1047	0
10471	0.00703752739746229
10472	0
10473	-0.02282089964940368
10474	0
10475	0
10478	0
10479	0.01030005205439374
1048	0
10480	-0.00263607864996941
10481	0
10482	0
10483	0
10484	0
10485	0
10486	0
10487	0
10488	0
10489	0
10490	0
