gene	female_adult_3
10157	0.02247475515827543
10158	-0.11977950088619568
10159	3.8178859239692e-4
1016	0.0111309352428335
10160	0
10161	0
10162	-5.3079401760326e-4
10163	0.01315048424511478
10164	0
10165	0
10166	0
10168	0
10169	0
1017	-0.00107462805116763
10170	0
10171	0
10172	0
10174	0
10175	0
10178	0
10179	0.00298651713440785
10180	0.0053672615174936
101805491	0
10181	0
10184	-0.00686123160590528
10186	-0.01165509176171026
10188	0.00446553545834207
10189	-0.00980570128851061
1019	-0.00293754018480997
10190	0
101926888	-0.00979721338304981
101926890	0
101926892	0.04833212501319967
101926903	0
101926928	0
101926934	0
101926942	0
101926951	0
101926978	0
101926987	0.0201712086507258
101927003	0.00479334704195332
101927007	0
101927017	0
101927018	-0.0155650158924733
101927027	0
101927034	-0.0500752341563168
101927038	0
101927040	0
101927043	-0.00795869470012804
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	0
101927112	0
101927115	-0.07109323671109037
101927123	0
101927124	0.00269206077093386
101927125	-0.02323624715509651
101927129	0
101927131	0
101927138	0
101927143	0
101927150	0.00141295733893358
101927151	-0.04627708253449435
101927152	0
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	0
101927219	0.00601180432546309
101927220	0
101927228	0
101927237	-0.05241958639050327
101927244	0
101927253	0
101927257	-0.02545228270016719
101927273	0
101927274	0
101927275	-0.029887185943575
101927282	0
101927286	0
101927292	0.02231183464462775
101927295	-0.03133006545224366
101927310	0
101927314	-0.00854349923367014
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	-0.02447074903846413
101927410	0
101927411	0
101927416	0
101927417	0
101927420	0.07937868797726085
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	0.01011909819929239
101927482	0
101927494	0
101927495	0
101927498	0
101927502	-0.02970400202841909
101927503	0
101927513	0
101927523	0
101927526	0
101927528	0
101927531	0.0382747311997429
101927539	0
101927543	0.03180658694971267
101927547	-0.00569950064238227
101927553	0
101927565	0
101927581	0
101927586	-0.03687120388228319
101927587	-0.06094300551961114
101927588	0
101927592	0
101927599	0
101927606	-0.00809504671939907
101927616	0
101927636	0.08343332508026859
101927641	-4.0433327811478e-4
101927650	0
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	-0.0500819314648355
101927720	0
101927722	-0.00456216566841431
101927735	0
101927760	0
101927766	0
101927769	0
101927787	0
101927798	0
101927808	0
101927809	0
101927815	-0.02826016346739178
101927821	0
101927828	0.00954197933413909
101927829	0
101927839	0
101927843	0
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0.05968625121355906
101927900	0
101927901	0
101927907	0
101927914	0
101927934	0
101927943	-0.01271581643529884
101927948	0
101927950	0.01618181357546575
101927953	0
101927972	0
