gene	female_middle_adult_2
10325	0.01464714332386939
10326	-0.00308977569471994
10327	0
10328	-7.6075150599229e-4
10329	0
1033	4.4770248827135e-4
10330	0
10331	0.02198087849311051
10332	0
10333	0
10335	0
10336	0
10342	0
10343	0
10344	0
10345	0
10346	-0.02048882484060638
10347	9.8643101080138e-4
10350	0.02246905404500548
10351	0.02024733218424398
10352	0
1036	0
10360	0
10361	0
10362	0
10363	0
10365	0
10367	-0.01227588107120632
10368	0
10369	0
10370	0.0264356667669381
10371	0
10376	0
10379	0
1038	0
10380	-0.01753346007922676
10381	-0.00201976286729841
10382	0.00380027842498001
10383	0
10384	0
10385	0
10388	0.01820933303722165
10389	0
1039	-0.01367534062509167
10390	0
10391	0.0399675264528927
103910	-0.00825304968976358
10392	-0.01254529423240048
10393	0
10394	0
10395	-0.01529853737263281
10396	-0.01163180687602849
10397	0
10398	-0.06479859865463763
10399	-0.00170886501392074
104	0.01152887137775355
1040	0
10400	-0.01462479617886992
10401	0.03088196308844592
10402	-0.06723999969163644
10403	0
10404	0
10406	-0.02891698052581426
10407	0
10408	0.03124212598925188
10409	-4.770716335022167e-5
1041	0
10411	-0.04510404222553938
10413	0
10417	-0.05457097924928437
10418	-0.00376215422561538
10419	0.04698419120522951
10420	-0.03571800435606979
10421	0
10422	0
10423	0
10424	0
10425	0.0133948430868296
10426	0
10427	0
10428	-0.02264387540862971
1043	-0.013519431777829
10430	0
10432	-0.00650312314840331
10434	0
10435	0
10436	0
10437	0
10438	-0.03473818270997
10439	-0.09024681681918388
1044	0
10440	0
10443	0
10444	0
10445	0.00717278375619514
10446	0
10449	-0.02825456290846758
1045	0
10450	0.00112492145679373
10451	0.04374335411087192
10454	-0.0266317957658125
10455	-0.00419628027094094
10456	0.00260041464900591
10457	0
10458	-0.09623951439738422
10459	0.00710519057541257
1046	0
10460	0
10461	0.02767049960043955
10462	0.03296973632880648
10463	-9.2509195897719e-4
10464	-0.05444686355664126
10465	-0.0205929720308594
10466	0.02303365651742852
10467	0
10468	-0.01419641892345546
10469	0
1047	0
10471	0
10472	-1.9548920629938e-4
10473	0
10474	0
10475	0
10478	0
10479	0.01005127937687109
1048	0
10480	-0.01026626671744628
10481	0
10482	0
10483	0
10484	0
10485	-0.00837517915141337
10486	-0.01324408082244093
10487	0
10488	0
10489	0
10490	-0.00775864183631479
10491	0.00735072559525974
10492	0.00299745617255391
10493	0.01656955640150035
10494	-0.01202157965818788
10495	0.02191118857202251
10497	0
10498	-0.0135582207853986
10499	0.01561323776497486
105	-0.07354973982638874
1050	0
10500	-0.06598310781320475
10501	-0.00205555159327878
10505	0
10507	0
10509	-2.1759338166913e-4
1051	0
10512	0
10513	0
10514	0.00207085934796396
10516	-0.01069216352814495
10518	-0.04834869686078007
10519	0.02576891407337565
1052	0
10520	0
10521	0
10522	0.01895918788412318
10523	-5.7272640122253e-4
10524	0
10525	-0.01478734540397597
10526	0
10527	0
10528	0
10529	-0.2032774266206392
1053	0
10531	0
10533	-0.01980251289008354
10534	0.01231075283838039
10535	0
10536	-0.00495754264713332
10537	-0.02737008372154358
10538	-0.00853322893479084
10539	0
1054	-0.00626766318419721
10540	-0.01960646736280002
10541	0
10542	0
10544	-0.02273035162410544
10548	0
10549	0
10550	0.00143338095178714
10551	0
10552	0.00920136847028604
10553	0
10554	0
10555	0.00640968894527965
10556	0
10557	-6.9597433482132e-4
10558	0
10559	0
1056	0
