gene	male-old_adult-fine-3
100996246	0.005807580704030582
100996251	-0.015369736857648416
100996279	0
100996286	-0.004181267972247906
100996301	0
100996307	0.009317456810215303
100996342	-0.04542996524280247
100996419	-0.00709932949529843
100996425	0.023606513824286923
100996455	0.002596906208501309
100996485	0
100996490	0.029579823672805972
100996492	-0.004317506027867773
100996570	0.017054070931587693
100996579	-0.008623087058246597
100996590	-0.028339086599398412
100996624	0
100996671	-0.0028815975126357265
100996694	0
100996702	-0.009102125386571966
100996902	0.01655708375359317
101	-0.017655215746469947
1010	-0.0047828809346364045
10100	0
10101	0
10102	0
10103	0.013885258527147787
10105	0
101055625	-0.02995285537353073
101059948	0
10106	0
101060019	0.018787316390209224
101060200	0
101060264	0.09323214023692035
101060544	0.009389839459401634
10107	0
10109	-0.009286735504448619
10110	-0.007574552213073592
10111	-0.010279072168284484
10112	0
10113	0
10114	0
10116	0.023280281179573065
10117	-0.012415194156197615
1012	0
10120	0.010818792500740797
10121	0.006855163151332106
10123	0.009934387741213014
10125	-0.03223378257253205
10126	0
10127	0
10128	0
10129	0
1013	-0.023756762448234305
10130	-0.00258526902662295
10131	0
10133	0.01305469559233973
10134	0
10135	0.020171646996903544
10136	0
10137	0
10138	-6.271844156523059e-4
10139	0
1014	-0.02025696006641453
10140	0.04905398891347375
10141	-0.04127084571830406
101410533	0
101410538	0
10142	0
10143	-0.018385286423263595
10144	0.01965685659343184
10146	-0.039250639554546475
10147	0
10148	0.005585398016592541
10149	-0.026051491213439925
1015	0
10150	0.011305703608607895
10152	0
10153	-0.0031392961133001676
10154	0.046138693284967315
10155	0
101559451	0
10157	0.03437522656106395
10158	0.04948312682909473
10159	0
1016	-0.013053560886358966
10160	-0.004161662162966042
10161	0
10162	0.01761138669727625
10163	0
10164	0
10165	0
10166	0
10168	0
10169	-0.030330393447462287
1017	0
10170	-0.013129951408321152
10171	0
10172	-0.007016512926948578
10174	0
10175	0.003758119520076295
10178	0.006229447765428981
10179	0.017203697991376544
10180	-0.010853433329408147
101805491	0
10181	-0.01391119960133889
10184	0
10186	-0.005508048459478934
10188	0.036685699324806365
10189	0
1019	0.00839100215804347
10190	0
101926888	-0.010805350396572273
101926890	0.005004345401525491
101926892	0
101926903	-0.006952202128366197
101926928	0.0049489822179982585
101926934	0.03096080656336068
101926942	0
101926951	0
101926978	0
101926987	-0.03299206180135485
101927003	0
101927007	0
101927017	0.007061995455578629
101927018	0
101927027	0.006792597472360522
101927034	0
101927038	0
101927040	0
101927043	0.0064788569054171075
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	-0.0070205854543829065
101927112	0.0020984892824770355
101927115	0.016067988416528414
101927123	0
101927124	0.010152678475117902
101927125	-0.019484393657855755
101927129	0
101927131	0
101927138	9.19753325446737e-4
101927143	-0.021347820304607516
101927150	0
101927151	0.019105333930627626
101927152	0
101927159	0
101927164	0
101927193	0.015358104928042182
101927195	0
101927196	-0.005617465790176723
101927204	0.005361429186780622
101927219	-0.013659813596875863
101927220	0
101927228	0
101927237	0
101927244	0
101927253	-0.009471150057880696
101927257	0
101927273	0
101927274	0
101927275	-0.005580508051952682
101927282	0
101927286	0
101927292	0.04294098816282847
101927295	-0.0024479237423542795
101927310	0
101927314	0.02365313250242424
101927320	0
101927346	0
101927348	0.06990421764078453
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	-0.003905895190992858
101927420	0.05131468664661394
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	0
101927482	0
101927494	0
101927495	0
101927498	0.013468458440852758
101927502	-0.040461538112743785
101927503	0.006808894149485786
101927513	0
101927523	0
101927526	0
101927528	0
101927531	-0.031517744625735415
101927539	0
101927543	0
101927547	0
101927553	0
101927565	-0.023050873580032386
101927581	0
101927586	0
101927587	-0.049704410825091104
101927588	-0.007891438064275759
101927592	0.014131301500454963
101927599	-0.00740588575202076
101927606	0.019739704531233703
101927616	0
101927636	0.01868534659130464
101927641	-0.023098859010481254
101927650	1.7935072466692927e-4
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	-0.057967243470878914
101927720	0.021322546755553846
101927722	-0.01722057908304924
101927735	0
101927760	-0.020601426997853153
101927766	0.004122815303543972
101927769	0
101927787	-0.018461353285489215
101927798	0
101927808	0
101927809	0.03001279256129537
101927815	0
101927821	0
101927828	0
101927829	0
101927839	0
101927843	-0.010961741616923057
101927849	0.008866794306180606
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0
101927900	0
101927901	0
101927907	0.011938376511270382
101927914	0
101927934	-0.0436731296449511
101927943	0
101927948	0
101927950	0
101927953	-0.024954886749979307
101927972	0.058514438221957156
101927974	0.02634434274785424
101927992	-0.010057708379942524
101927994	0
101928000	-0.013621583465822757
101928002	0.03745483091381504
101928009	0
101928012	0.0011779465732967766
101928031	0.022324055051773522
101928035	0
101928040	0
101928043	-0.0050558990345327594
101928052	0
101928069	-0.02919969687336387
101928079	0
101928087	0
101928098	0
101928100	-0.019561605991427145
101928101	0.0016817876044636405
101928104	0.07565226081748487
101928111	0
101928120	-0.09374322515693627
101928132	0
101928134	0.009870748234847073
101928144	0
101928158	-0.0059017608094970855
101928162	0.061345690797782564
101928165	0
101928167	0
101928185	0
101928190	0
101928201	0
101928205	0
101928222	-0.053896954888790705
101928227	0
101928238	0.019224359781295604
101928251	0
101928259	-0.032519879892267414
101928271	0
101928276	0
101928280	-3.477389118938511e-4
101928288	0
101928298	0
101928303	0
101928333	0
101928335	0
101928371	0
101928376	0.0510288159007721
101928386	0
101928388	0
101928389	0
101928399	0.013278990727638983
101928401	0
101928405	0
101928418	0
101928424	0
101928435	0
101928443	0
101928446	0
101928449	0
101928460	0
101928461	0.037772391844079205
101928464	0
101928475	0
101928476	0.004817263500128015
101928495	0.012223878374204798
101928496	0
101928516	0
101928521	0.007193487121621142
101928525	0
101928535	0
101928537	0
