entrez	group
9313	breast_unknown_female
8600	breast_unknown_female
4057	breast_unknown_female
677815	breast_unknown_male
5764	breast_unknown_female
23316	breast_unknown_male
6406	breast_unknown_male
109729127	breast_unknown_female
148641	breast_unknown_female
440602	breast_unknown_male
7022	breast_unknown_female
343066	breast_unknown_female
338376	breast_unknown_female
3747	breast_unknown_female
8529	breast_unknown_male
10481	breast_unknown_male
645249	breast_unknown_female
139105	breast_unknown_male
3642	breast_unknown_male
8001	breast_unknown_male
13	breast_unknown_male
284661	breast_unknown_female
57144	breast_unknown_female
283688	breast_unknown_male
646424	breast_unknown_female
400618	breast_unknown_female
8419	breast_unknown_male
641516	breast_unknown_female
107985075	breast_unknown_female
5288	breast_unknown_female
8343	breast_unknown_female
26103	breast_unknown_male
101927565	breast_unknown_female
79024	breast_unknown_male
127540	breast_unknown_male
728378	breast_unknown_female
84951	breast_unknown_female
170302	breast_unknown_male
102723165	breast_unknown_male
5650	breast_unknown_female
8284	Brodmann-(1909)-area-24_unknown_male
8287	Brodmann-(1909)-area-24_unknown_male
22829	Brodmann-(1909)-area-24_unknown_male
6192	Brodmann-(1909)-area-24_unknown_male
8653	Brodmann-(1909)-area-24_unknown_male
9086	Brodmann-(1909)-area-24_unknown_male
7503	Brodmann-(1909)-area-24_unknown_female
7404	Brodmann-(1909)-area-24_unknown_male
5616	Brodmann-(1909)-area-24_unknown_male
7544	Brodmann-(1909)-area-24_unknown_male
83259	Brodmann-(1909)-area-24_unknown_male
83869	Brodmann-(1909)-area-24_unknown_male
246126	Brodmann-(1909)-area-24_unknown_male
9087	Brodmann-(1909)-area-24_unknown_male
246119	Brodmann-(1909)-area-24_unknown_male
159119	Brodmann-(1909)-area-24_unknown_male
100874056	Brodmann-(1909)-area-24_unknown_male
9383	Brodmann-(1909)-area-24_unknown_female
100463488	Brodmann-(1909)-area-24_unknown_male
286554	Brodmann-(1909)-area-24_unknown_male
53828	Brodmann-(1909)-area-24_unknown_female
4317	Brodmann-(1909)-area-24_unknown_female
5996	Brodmann-(1909)-area-24_unknown_female
3001	Brodmann-(1909)-area-24_unknown_female
100462977	Brodmann-(1909)-area-24_unknown_male
3627	Brodmann-(1909)-area-24_unknown_female
1117	Brodmann-(1909)-area-24_unknown_female
3934	Brodmann-(1909)-area-24_unknown_female
6373	Brodmann-(1909)-area-24_unknown_female
6363	Brodmann-(1909)-area-24_unknown_female
22829	Brodmann-(1909)-area-9_unknown_male
246126	Brodmann-(1909)-area-9_unknown_male
8287	Brodmann-(1909)-area-9_unknown_male
9086	Brodmann-(1909)-area-9_unknown_male
8284	Brodmann-(1909)-area-9_unknown_male
7503	Brodmann-(1909)-area-9_unknown_female
8653	Brodmann-(1909)-area-9_unknown_male
7404	Brodmann-(1909)-area-9_unknown_male
7544	Brodmann-(1909)-area-9_unknown_male
6192	Brodmann-(1909)-area-9_unknown_male
5616	Brodmann-(1909)-area-9_unknown_male
83259	Brodmann-(1909)-area-9_unknown_male
83869	Brodmann-(1909)-area-9_unknown_male
9087	Brodmann-(1909)-area-9_unknown_male
159119	Brodmann-(1909)-area-9_unknown_male
246119	Brodmann-(1909)-area-9_unknown_male
9383	Brodmann-(1909)-area-9_unknown_female
100874056	Brodmann-(1909)-area-9_unknown_male
7412	Brodmann-(1909)-area-9_unknown_female
90853	Brodmann-(1909)-area-9_unknown_female
1117	Brodmann-(1909)-area-9_unknown_female
9052	Brodmann-(1909)-area-9_unknown_female
286554	Brodmann-(1909)-area-9_unknown_male
85477	Brodmann-(1909)-area-9_unknown_female
9388	Brodmann-(1909)-area-9_unknown_female
6363	Brodmann-(1909)-area-9_unknown_female
9023	Brodmann-(1909)-area-9_unknown_female
6351	Brodmann-(1909)-area-9_unknown_female
4973	Brodmann-(1909)-area-9_unknown_female
9124	Brodmann-(1909)-area-9_unknown_female
100462977	Brodmann-(1909)-area-9_unknown_female
100873962	Brodmann-(1909)-area-9_unknown_male
3426	Brodmann-(1909)-area-9_unknown_female
3553	Brodmann-(1909)-area-9_unknown_female
2244	Brodmann-(1909)-area-9_unknown_male
3690	Brodmann-(1909)-area-9_unknown_female
22918	Brodmann-(1909)-area-9_unknown_female
165631	Brodmann-(1909)-area-9_unknown_female
90665	Brodmann-(1909)-area-9_unknown_male
8685	Brodmann-(1909)-area-9_unknown_female
56163	Brodmann-(1909)-area-9_unknown_female
3976	Brodmann-(1909)-area-9_unknown_female
653509	Brodmann-(1909)-area-9_unknown_female
3569	Brodmann-(1909)-area-9_unknown_female
30009	Brodmann-(1909)-area-9_unknown_female
11082	Brodmann-(1909)-area-9_unknown_female
8653	C1-segment-of-cervical-spinal-cord_unknown_male
8284	C1-segment-of-cervical-spinal-cord_unknown_male
6192	C1-segment-of-cervical-spinal-cord_unknown_male
5616	C1-segment-of-cervical-spinal-cord_unknown_male
7404	C1-segment-of-cervical-spinal-cord_unknown_male
22829	C1-segment-of-cervical-spinal-cord_unknown_male
7544	C1-segment-of-cervical-spinal-cord_unknown_male
83869	C1-segment-of-cervical-spinal-cord_unknown_male
9086	C1-segment-of-cervical-spinal-cord_unknown_male
8287	C1-segment-of-cervical-spinal-cord_unknown_male
246126	C1-segment-of-cervical-spinal-cord_unknown_male
9087	C1-segment-of-cervical-spinal-cord_unknown_male
286554	C1-segment-of-cervical-spinal-cord_unknown_male
246119	C1-segment-of-cervical-spinal-cord_unknown_male
9383	C1-segment-of-cervical-spinal-cord_unknown_female
83259	C1-segment-of-cervical-spinal-cord_unknown_male
7503	C1-segment-of-cervical-spinal-cord_unknown_female
100873962	C1-segment-of-cervical-spinal-cord_unknown_male
107987337	C1-segment-of-cervical-spinal-cord_unknown_male
3127	C1-segment-of-cervical-spinal-cord_unknown_male
100874056	C1-segment-of-cervical-spinal-cord_unknown_male
6736	C1-segment-of-cervical-spinal-cord_unknown_male
90665	C1-segment-of-cervical-spinal-cord_unknown_male
84935	C1-segment-of-cervical-spinal-cord_unknown_male
4489	C1-segment-of-cervical-spinal-cord_unknown_male
23564	C1-segment-of-cervical-spinal-cord_unknown_male
125965	C1-segment-of-cervical-spinal-cord_unknown_female
6192	caudate-nucleus_unknown_male
8653	caudate-nucleus_unknown_male
8284	caudate-nucleus_unknown_male
8287	caudate-nucleus_unknown_male
246126	caudate-nucleus_unknown_male
22829	caudate-nucleus_unknown_male
9086	caudate-nucleus_unknown_male
7404	caudate-nucleus_unknown_male
7544	caudate-nucleus_unknown_male
5616	caudate-nucleus_unknown_male
83869	caudate-nucleus_unknown_male
9087	caudate-nucleus_unknown_male
90665	caudate-nucleus_unknown_male
7503	caudate-nucleus_unknown_female
246119	caudate-nucleus_unknown_male
286554	caudate-nucleus_unknown_male
83259	caudate-nucleus_unknown_male
100874056	caudate-nucleus_unknown_male
159119	caudate-nucleus_unknown_male
100873962	caudate-nucleus_unknown_male
9383	caudate-nucleus_unknown_female
3119	caudate-nucleus_unknown_male
3109	caudate-nucleus_unknown_male
6736	caudate-nucleus_unknown_male
8284	cerebellar-hemisphere_unknown_male
8287	cerebellar-hemisphere_unknown_male
6192	cerebellar-hemisphere_unknown_male
8653	cerebellar-hemisphere_unknown_male
246126	cerebellar-hemisphere_unknown_male
22829	cerebellar-hemisphere_unknown_male
7404	cerebellar-hemisphere_unknown_male
9086	cerebellar-hemisphere_unknown_male
